Date,Open,High,Low,Close,Adj Close,Volume
2016-07-15,53.950001,54.000000,53.209999,53.700001,52.111900,32024400
2016-07-18,53.700001,54.340000,53.549999,53.959999,52.364212,31433900
2016-07-19,53.709999,53.900002,52.930000,53.090000,51.519943,53336500
2016-07-20,56.150002,56.840000,55.529999,55.910000,54.256546,89893300
2016-07-21,55.980000,56.230000,55.759998,55.799999,54.149796,32776700
2016-07-22,56.080002,56.630001,55.779999,56.570000,54.897022,32157200
2016-07-25,56.470001,56.740002,56.259998,56.730000,55.052292,25610600
2016-07-26,56.520000,57.290001,56.509998,56.759998,55.081406,28079000
2016-07-27,56.610001,56.799999,56.110001,56.189999,54.528259,32095300
2016-07-28,56.000000,56.369999,55.720001,56.209999,54.547668,37550400
2016-07-29,56.259998,56.759998,56.049999,56.680000,55.003773,30558700
2016-08-01,56.599998,56.750000,56.139999,56.580002,54.906734,26003400
2016-08-02,56.849998,56.900002,56.310001,56.580002,54.906734,35122000
2016-08-03,56.680000,57.110001,56.490002,56.970001,55.285198,22075600
2016-08-04,56.799999,57.520000,56.669998,57.389999,55.692776,26466400
2016-08-05,57.650002,58.209999,57.450001,57.959999,56.245914,29335200
2016-08-08,58.060001,58.090000,57.779999,58.060001,56.342960,19473500
2016-08-09,58.169998,58.500000,58.020000,58.200001,56.478825,16920700
2016-08-10,58.160000,58.320000,57.820000,58.020000,56.304142,15756900
2016-08-11,58.029999,58.450001,58.029999,58.299999,56.575859,18133800
2016-08-12,58.029999,58.189999,57.619999,57.939999,56.226505,21655200
2016-08-15,58.009998,58.500000,57.959999,58.119999,56.401180,19283900
2016-08-16,57.610001,57.619999,57.270000,57.439999,56.088711,20523500
2016-08-17,57.540001,57.680000,57.230000,57.560001,56.205887,18856400
2016-08-18,57.419998,57.700001,57.270000,57.599998,56.244946,14214300
2016-08-19,57.430000,57.730000,57.200001,57.619999,56.264477,17271000
2016-08-22,57.599998,57.750000,57.259998,57.669998,56.313301,15221900
2016-08-23,57.900002,58.180000,57.849998,57.889999,56.528126,18732400
2016-08-24,57.799999,58.040001,57.720001,57.950001,56.586712,18151500
2016-08-25,57.880001,58.290001,57.779999,58.169998,56.801537,18552600
2016-08-26,58.279999,58.700001,57.689999,58.029999,56.664833,20971200
2016-08-29,58.180000,58.599998,58.099998,58.099998,56.733185,16217900
2016-08-30,57.980000,58.189999,57.610001,57.889999,56.528126,16930200
2016-08-31,57.650002,57.799999,57.299999,57.459999,56.108238,20860300
2016-09-01,57.009998,57.820000,57.009998,57.590000,56.235180,26075400
2016-09-02,57.669998,58.189999,57.419998,57.669998,56.313301,18900500
2016-09-06,57.779999,57.799999,57.209999,57.610001,56.254715,16278400
2016-09-07,57.470001,57.840000,57.410000,57.660000,56.303535,17493400
2016-09-08,57.630001,57.790001,57.180000,57.430000,56.078945,19972500
2016-09-09,56.790001,57.520000,56.209999,56.209999,54.887646,35113900
2016-09-12,56.000000,57.209999,55.610001,57.049999,55.707886,29303000
2016-09-13,56.500000,56.650002,56.049999,56.529999,55.200119,30130200
2016-09-14,56.389999,56.630001,56.029999,56.259998,54.936470,24062500
2016-09-15,56.150002,57.349998,55.980000,57.189999,55.844593,26847000
2016-09-16,57.630001,57.630001,56.750000,57.250000,55.903187,44607000
2016-09-19,57.270000,57.750000,56.849998,56.930000,55.590710,20879200
2016-09-20,57.349998,57.349998,56.750000,56.810001,55.473537,17384000
2016-09-21,57.509998,57.849998,57.080002,57.759998,56.401176,33707300
2016-09-22,57.919998,58.000000,57.630001,57.820000,56.459770,19822200
2016-09-23,57.869999,57.910000,57.380001,57.430000,56.078945,19955300
2016-09-26,57.080002,57.139999,56.830002,56.900002,55.561417,21688700
2016-09-27,56.930000,58.060001,56.680000,57.950001,56.586712,28065100
2016-09-28,57.880001,58.060001,57.669998,58.029999,56.664833,20536400
2016-09-29,57.810001,58.169998,57.209999,57.400002,56.049652,25463500
2016-09-30,57.570000,57.770000,57.340000,57.599998,56.244946,29910800
2016-10-03,57.410000,57.549999,57.060001,57.419998,56.069183,19189500
2016-10-04,57.270000,57.599998,56.970001,57.240002,55.893414,20085900
2016-10-05,57.290001,57.959999,57.259998,57.639999,56.284008,16726400
2016-10-06,57.740002,57.860001,57.279999,57.740002,56.381660,16212600
2016-10-07,57.849998,57.980000,57.419998,57.799999,56.440243,20089000
2016-10-10,57.910000,58.389999,57.869999,58.040001,56.674595,18084400
2016-10-11,57.889999,58.020000,56.889999,57.189999,55.844593,26497400
2016-10-12,57.110001,57.270000,56.400002,57.110001,55.766476,22177500
2016-10-13,56.700001,57.299999,56.320000,56.919998,55.580940,25313700
2016-10-14,57.119999,57.740002,57.119999,57.419998,56.069183,27402500
2016-10-17,57.360001,57.459999,56.869999,57.220001,55.873890,23830000
2016-10-18,57.529999,57.950001,57.410000,57.660000,56.303535,18631500
2016-10-19,57.470001,57.840000,57.400002,57.529999,56.176594,22878400
2016-10-20,57.500000,57.520000,56.660000,57.250000,55.903187,49455600
2016-10-21,60.279999,60.450001,59.490002,59.660000,58.256485,80032200
2016-10-24,59.939999,61.000000,59.930000,61.000000,59.564964,54067000
2016-10-25,60.849998,61.369999,60.799999,60.990002,59.555199,35137200
2016-10-26,60.810001,61.200001,60.470001,60.630001,59.203667,29911600
2016-10-27,60.610001,60.830002,60.090000,60.099998,58.686134,28479900
2016-10-28,60.009998,60.520000,59.580002,59.869999,58.461548,33574700
2016-10-31,60.160000,60.419998,59.919998,59.919998,58.510365,26434700
2016-11-01,59.970001,60.020000,59.250000,59.799999,58.393192,24533000
2016-11-02,59.820000,59.930000,59.299999,59.430000,58.031898,22147000
2016-11-03,59.529999,59.639999,59.110001,59.209999,57.817070,21600400
2016-11-04,58.650002,59.279999,58.520000,58.709999,57.328835,28697000
2016-11-07,59.779999,60.520000,59.779999,60.419998,58.998608,31664800
2016-11-08,60.549999,60.779999,60.150002,60.470001,59.047428,22862000
2016-11-09,60.000000,60.590000,59.200001,60.169998,58.754486,49632500
2016-11-10,60.480000,60.490002,57.630001,58.700001,57.319069,57822400
2016-11-11,58.230000,59.119999,58.009998,59.020000,57.631542,38767800
2016-11-14,59.020000,59.080002,57.279999,58.119999,56.752712,40861900
2016-11-15,58.330002,59.490002,58.320000,58.869999,57.873413,35904100
2016-11-16,58.939999,59.660000,58.810001,59.650002,58.640213,26851400
2016-11-17,60.410000,60.950001,59.970001,60.639999,59.613453,32132700
2016-11-18,60.779999,61.139999,60.299999,60.349998,59.328362,27686300
2016-11-21,60.500000,60.970001,60.419998,60.860001,59.829727,19652600
2016-11-22,60.980000,61.259998,60.810001,61.119999,60.085323,23206700
2016-11-23,61.009998,61.099998,60.250000,60.400002,59.377514,21847200
2016-11-25,60.299999,60.529999,60.130001,60.529999,59.505310,8409600
2016-11-28,60.340000,61.020000,60.209999,60.610001,59.583958,20732600
2016-11-29,60.650002,61.410000,60.520000,61.090000,60.055836,22366700
2016-11-30,60.860001,61.180000,60.220001,60.259998,59.239883,34655400
2016-12-01,60.110001,60.150002,58.939999,59.200001,58.197826,34542100
2016-12-02,59.080002,59.470001,58.799999,59.250000,58.246979,25515700
2016-12-05,59.700001,60.590000,59.560001,60.220001,59.200565,23552700
2016-12-06,60.430000,60.459999,59.799999,59.950001,58.935135,19907000
2016-12-07,60.009998,61.380001,59.799999,61.369999,60.331097,30809000
2016-12-08,61.299999,61.580002,60.840000,61.009998,59.977184,21220800
2016-12-09,61.180000,61.990002,61.130001,61.970001,60.920940,27349400
2016-12-12,61.820000,62.299999,61.720001,62.169998,61.117550,20198100
2016-12-13,62.500000,63.419998,62.240002,62.980000,61.913837,35718900
2016-12-14,63.000000,63.450001,62.529999,62.680000,61.618916,30352700
2016-12-15,62.700001,63.150002,62.299999,62.580002,61.520611,27669900
2016-12-16,62.950001,62.950001,62.119999,62.299999,61.245350,42204700
2016-12-19,62.560001,63.770000,62.419998,63.619999,62.543003,34338200
2016-12-20,63.689999,63.799999,63.029999,63.540001,62.464359,26028400
2016-12-21,63.430000,63.700001,63.119999,63.540001,62.464359,17096300
2016-12-22,63.840000,64.099998,63.410000,63.549999,62.474186,22176600
2016-12-23,63.450001,63.540001,62.799999,63.240002,62.169441,12398000
2016-12-27,63.209999,64.070000,63.209999,63.279999,62.208755,11763200
2016-12-28,63.400002,63.400002,62.830002,62.990002,61.923668,14653300
2016-12-29,62.860001,63.200001,62.730000,62.900002,61.835197,10181600
2016-12-30,62.959999,62.990002,62.029999,62.139999,61.088055,25579900
