Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_Volume
2000-01-03,2608.48,2608.48,2608.48,2608.48,nan
2000-01-04,2549.01,2549.01,2549.01,2549.01,nan
2000-01-05,2425.9,2425.9,2425.9,2425.9,nan
2000-01-06,2409,2409,2409,2409,nan
2000-01-07,2449.96,2449.96,2449.96,2449.96,nan
2000-01-10,2457.59,2457.59,2457.59,2457.59,nan
2000-01-11,2449.74,2449.74,2449.74,2449.74,nan
2000-01-12,2452.61,2452.61,2452.61,2452.61,nan
2000-01-13,2412.51,2412.51,2412.51,2412.51,nan
2000-01-14,2418.57,2418.57,2418.57,2418.57,nan
2000-01-17,2367.16,2367.16,2367.16,2367.16,nan
2000-01-18,2343.04,2343.04,2343.04,2343.04,nan
2000-01-19,2286.65,2286.65,2286.65,2286.65,nan
2000-01-20,2347.34,2347.34,2347.34,2347.34,nan
2000-01-21,2285.61,2285.61,2285.61,2285.61,nan
2000-01-24,2256.84,2256.84,2256.84,2256.84,nan
2000-01-25,2255.12,2255.12,2255.12,2255.12,nan
2000-01-26,2266.75,2266.75,2266.75,2266.75,nan
2000-01-27,2303.69,2303.69,2303.69,2303.69,nan
2000-01-28,2275.89,2275.89,2275.89,2275.89,nan
2000-01-31,2231.82,2231.82,2231.82,2231.82,nan
2000-02-01,2240.63,2240.63,2240.63,2240.63,nan
2000-02-02,2277.48,2277.48,2277.48,2277.48,nan
2000-02-03,2260.2,2260.2,2260.2,2260.2,nan
2000-02-04,2270.98,2270.98,2270.98,2270.98,nan
2000-02-08,2261.31,2261.31,2261.31,2261.31,nan
2000-02-09,2249.69,2249.69,2249.69,2249.69,nan
2000-02-10,2236.72,2236.72,2236.72,2236.72,nan
2000-02-11,2239.15,2239.15,2239.15,2239.15,nan
2000-02-14,2237.87,2237.87,2237.87,2237.87,nan
2000-02-15,2209.94,2209.94,2209.94,2209.94,nan
2000-02-16,2218.66,2218.66,2218.66,2218.66,nan
2000-02-17,2241.87,2241.87,2241.87,2241.87,nan
2000-02-18,2179.75,2179.75,2179.75,2179.75,nan
2000-02-21,2120.39,2120.39,2120.39,2120.39,nan
2000-02-22,2114.11,2114.11,2114.11,2114.11,nan
2000-02-23,2142.69,2142.69,2142.69,2142.69,nan
2000-02-24,2127.71,2127.71,2127.71,2127.71,nan
2000-02-25,2143.04,2143.04,2143.04,2143.04,nan
2000-02-28,2130.99,2130.99,2130.99,2130.99,nan
2000-02-29,2163.75,2163.75,2163.75,2163.75,nan
2000-03-01,2163.07,2163.07,2163.07,2163.07,nan
2000-03-02,2147.78,2147.78,2147.78,2147.78,nan
2000-03-03,2138.95,2138.95,2138.95,2138.95,nan
2000-03-06,2164.45,2164.45,2164.45,2164.45,nan
2000-03-07,2158.41,2158.41,2158.41,2158.41,nan
2000-03-08,2151.39,2151.39,2151.39,2151.39,nan
2000-03-09,2150.68,2150.68,2150.68,2150.68,nan
2000-03-10,2179.9,2179.9,2179.9,2179.9,nan
2000-03-13,2126.82,2126.82,2126.82,2126.82,nan
2000-03-14,2134.63,2134.63,2134.63,2134.63,nan
2000-03-15,2103.15,2103.15,2103.15,2103.15,nan
2000-03-17,2162.86,2162.86,2162.86,2162.86,nan
2000-03-20,2157.2,2157.2,2157.2,2157.2,nan
2000-03-21,2182.56,2182.56,2182.56,2182.56,nan
2000-03-22,2194.54,2194.54,2194.54,2194.54,nan
2000-03-23,2190.31,2190.31,2190.31,2190.31,nan
2000-03-24,2199.6,2199.6,2199.6,2199.6,nan
2000-03-27,2262.52,2262.52,2262.52,2262.52,nan
2000-03-28,2243.78,2243.78,2243.78,2243.78,nan
2000-03-29,2225.02,2225.02,2225.02,2225.02,nan
2000-03-30,2152.53,2152.53,2152.53,2152.53,nan
2000-03-31,2150.24,2150.24,2150.24,2150.24,nan
2000-04-03,2086.22,2086.22,2086.22,2086.22,nan
2000-04-04,2066.09,2066.09,2066.09,2066.09,nan
2000-04-05,2058.89,2058.89,2058.89,2058.89,nan
2000-04-06,2104.28,2104.28,2104.28,2104.28,nan
2000-04-07,2146.88,2146.88,2146.88,2146.88,nan
